,voter_id,Name,Gender,Aadhar Number,City,Passw,hasVoted
0,112233445566,Anshuman,Male,112233445566,Bhubaneswar,anu,0
1,290520211630,Aishwarya,Female,290520211630,Pune,aishu,0
2,123456123456,Linu,Male,123456123456,TSBA,linu,0
3,122112211221,Ht,Female,122112211221,hyd,1234,0
4,123456789012,ht,Female,123456789012,hyd,123,0
5,888888888888,Bunny,Male,888888888888,hyd,12,0
6,1234567893698521,haha,Male,1234567893698521,hyd,1,0
7,1478523691478963,hehe,Male,1478523691478963,hyd,12,0
8,1478523691236547,heahha,Male,1478523691236547,hyd,1234,0
9,1478523690123645,anirudhh,Male,1478523690123645,hydw,12,0
10,1478523690123654,Sri,Male,1478523690123654,hyd,12121212,0
11,1478523690123600,Dhanuj,Male,1478523690123600,hyd,89899898,0
